Field_ID,Lab_ID,Species,Common_name,Date,Latitude,Longitude,Age_class,Sex,Cryptosporidium,Giardia
1AFSH001,ARFO-001,Vulpes lagopus,Arctic fox, 2014-05-06,71.1,-157.1,Adult,M,Negative,Negative
1AFSH002,ARFO-003,Vulpes lagopus,Arctic fox, 2014-05-06,71.1,-157.1,Adult,M,Negative,Negative
1AFSH004,ARFO-006,Vulpes lagopus,Arctic fox, 2014-05-06,71.1,-157.1,Adult,M,Negative,Negative
2AFSH003,ARFO-010,Vulpes lagopus,Arctic fox, 2014-05-07,71.0,-157.2,Adult,M,Negative,Negative
2AFSH004,ARFO-012,Vulpes lagopus,Arctic fox, 2014-05-07,71.3,-156.5,Adult,M,Negative,Negative
1AFSH006,ARFO-013,Vulpes lagopus,Arctic fox, 2014-05-07,71.3,-156.6,Adult,M,Negative,Negative
1AFSH008,ARFO-015,Vulpes lagopus,Arctic fox, 2014-05-07,71.1,-157.2,Adult,F,Negative,Negative
1AFSH009,ARFO-016,Vulpes lagopus,Arctic fox, 2014-05-09,71.3,-156.5,Adult,M,Negative,Negative
1AFSH010,ARFO-017,Vulpes lagopus,Arctic fox, 2014-05-09,71.1,-156.8,Adult,M,Negative,Negative
2AFSH006,ARFO-021,Vulpes lagopus,Arctic fox, 2014-05-10,71.2,-156.9,Adult,F,Negative,Negative
1AFSH018,ARFO-023,Vulpes lagopus,Arctic fox, 2014-05-10,71.2,-156.5,Adult,F,Negative,Negative
1AFSH019,ARFO-024,Vulpes lagopus,Arctic fox, 2014-05-10,71.2,-156.9,Adult,M,Negative,Negative
1AFSH044,ARFO-076,Vulpes lagopus,Arctic fox, 2014-05-12,71.2,-156.2,Adult,F,Negative,Negative
3AFSH001,ARFO-077,Vulpes lagopus,Arctic fox, 2014-05-12,71.2,-156.3,Adult,F,Negative,Negative
1AFSH021,ARFO-029,Vulpes lagopus,Arctic fox, 2014-05-13,71.3,-156.3,Adult,F,Negative,Negative
1AFSH023,ARFO-032,Vulpes lagopus,Arctic fox, 2014-05-13,71.2,-155.7,Adult,F,Negative,Negative
1AFSH024,ARFO-033,Vulpes lagopus,Arctic fox, 2014-05-13,71.1,-155.6,Adult,F,Negative,Negative
2AFSH015,ARFO-034,Vulpes lagopus,Arctic fox, 2014-05-13,71.1,-155.6,Adult,F,Negative,Negative
1AFSH025,ARFO-039,Vulpes lagopus,Arctic fox, 2014-05-13,71.1,-155.6,Adult,M,Negative,Negative
