animal,date,time,latitude,longitude,LocationQuality
pb_06953,4/21/1993,21:51:28,59.279,171.542,L1
pb_06896,3/29/1992,21:20:16,59.584,-173.923,L2
pb_06896,3/20/1992,23:48:03,59.639,-172.056,L3
pb_06953,4/18/1993,22:54:19,59.662,171.718,L2
pb_06953,4/25/1993,1:42:56,59.688,171.423,LA
pb_06896,3/18/1992,2:05:26,60.088,-171.582,L2
pb_06953,4/16/1993,1:48:19,60.121,171.67,L2
pb_06953,4/12/1993,23:21:55,60.205,172.082,L2
pb_06953,4/30/1993,23:36:48,60.398,171.173,L1
pb_06953,4/6/1993,22:09:34,60.465,172.372,L2
pb_06953,4/10/1993,1:21:00,60.469,172.108,L3
pb_06724,4/8/1988,18:22:00,60.504,-168.618,L2
pb_06896,3/15/1992,0:58:33,60.577,-170.786,LA
pb_06896,4/1/1992,21:55:41,60.594,-174.02,L1
pb_06724,4/11/1988,18:59:38,60.719,-169.261,LA
pb_06724,4/5/1988,19:30:21,60.835,-168.783,LZ
pb_06953,1/20/1994,2:07:38,60.905,-171.919,L1
pb_06896,4/5/1992,0:14:00,60.923,-171.937,LB
pb_06896,3/11/1992,21:01:35,61.007,-170.077,LB
pb_06953,4/3/1993,21:37:55,61.02,174.055,L1
pb_06953,3/22/1993,20:53:37,61.069,179.376,LB
pb_06953,5/3/1993,20:35:09,61.125,173.262,LA
pb_06953,3/28/1993,22:04:10,61.296,175.186,L1
pb_06953,3/19/1993,20:16:33,61.308,-179.245,L2
pb_06953,3/26/1994,21:04:21,61.31,-171.253,L0
pb_06724,4/3/1988,2:08:45,61.37,-168.156,L1
pb_06953,3/31/1993,22:39:26,61.391,174.435,L3
pb_06953,3/26/1993,1:05:21,61.409,178.034,L1
pb_06953,1/13/1994,21:07:37,61.416,-171.095,L1
pb_06872,3/20/1991,20:47:25,61.534,-170.901,LB
pb_06953,3/29/1994,20:50:33,61.54,-171.007,L2
pb_06896,3/2/1992,20:49:59,61.606,-169.255,L3
pb_06872,3/19/1991,20:23:08,61.61,-170.877,L2
pb_06872,3/19/1991,4:54:54,61.65,-170.838,L2
pb_06953,5/7/1993,2:36:13,61.716,176.514,L2
pb_06953,4/1/1994,23:06:08,61.776,-170.841,LB
pb_06872,3/17/1991,23:00:57,61.798,-171.066,L1
pb_06953,1/2/1994,0:43:55,61.799,-170.1,L1
pb_06872,3/8/1991,2:30:20,61.801,-169.036,LA
pb_06896,2/28/1992,21:51:28,61.819,-168.898,L1
pb_06953,3/20/1994,20:45:33,61.845,-169.33,L1
pb_06953,1/11/1994,2:13:29,61.88,-170.614,L2
pb_06724,3/31/1988,2:44:08,61.894,-167.761,L2
